агитировать	сагитировать
актировать	заактировать
алеть	поалеть
анализировать	проанализировать
аннотировать	проаннотировать
арендовать	заарендовать
арканить	заарканить
асфальтировать	заасфальтировать
баламутить	взбаламутить
баламутить	набаламутить
балансировать	сбалансировать
балластировать	забалластировать
баловать	избаловать
бальзамировать	забальзамировать
бальзамировать	набальзамировать
баррикадировать	забаррикадировать
басить	пробасить
баюкать	убаюкать
безобразить	обезобразить
белить	выбелить
белить	набелить
белить	побелить
бередить	разбередить
бесить	взбесить
беспокоить	обеспокоить
беспокоить	побеспокоить
бессилить	обессилить
бесславить	обесславить
бесчестить	обесчестить
бетонировать	забетонировать
бинтовать	забинтовать
бить	побить
бить	пробить
бить	разбить
благодарить	поблагодарить
блюсти	соблюсти
боготворить	обоготворить
бодать	забодать
бодрить	взбодрить
болтать	взболтать
бормотать	пробормотать
бороздить	взбороздить
боронить	взборонить
боронить	заборонить
бороновать	взбороновать
бороновать	забороновать
бороть	побороть
браковать	забраковать
бранить	выбранить
брехать	пробрехать
брить	побрить
бродить	выбродить
бронзировать	набронзировать
бронировать	забронировать
бронировать	забронировать
брошюровать	сброшюровать
брюзгнуть	обрюзгнуть
бряцать	пробряцать
бубнить	пробубнить
будить	пробудить
будить	разбудить
будоражить	взбудоражить
булгачить	взбулгачить
бунтовать	взбунтовать
буравить	пробуравить
бурить	пробурить
бурчать	пробурчать
бутить	забутить
бухнуть	разбухнуть
ваксить	наваксить
валить	повалить
валять	навалять
валять	обвалять
валять	свалять
варганить	сварганить
варить	сварить
везти	повезти
вентилировать	провентилировать
венчать	обвенчать
венчать	повенчать
венчать	увенчать
вербовать	завербовать
вередить	развередить
верстать	поверстать
верстать	сверстать
вертеть	провертеть
вертеть	свернуть
вертеть	свертеть
вершить	повершить
веселить	повеселить
веселить	развеселить
вести	повести
вести	привести
вести	провести
вечереть	повечереть
вечереть	свечереть
вечерять	повечерять
вешать	повесить
вешать	свешать
вещать	провещать
веять	провеять
видать	повидать
видать	увидать
видеть	увидеть
визировать	завизировать
вить	свить
влечь	повлечь
возить	отвозить
волгнуть	наволгнуть
волгнуть	отволгнуть
волновать	взволновать
волочить	проволочить
воровать	своровать
воротить	поворотить
воротить	своротить
ворсить	наворсить
ворсовать	наворсовать
вощить	навощить
врать	наврать
врать	соврать
врачевать	уврачевать
вредить	повредить
вуалировать	завуалировать
вьючить	навьючить
вязать	связать
вялить	провялить
гадить	нагадить
гарпунить	загарпунить
гасить	загасить
гасить	погасить
гасить	угасить
гатить	загатить
герметизировать	загерметизировать
гипнотизировать	загипнотизировать
гипсовать	загипсовать
гладить	выгладить
гладить	погладить
глотать	проглотить
глушить	заглушить
глушить	оглушить
глядеть	поглядеть
глянцевать	наглянцевать
гнать	выгнать
гнать	отогнать
гнать	прогнать
гневить	прогневить
гноить	сгноить
гнуть	погнуть
гнуть	согнуть
гоготать	прогоготать
голосовать	проголосовать
голубить	приголубить
горбить	сгорбить
горячить	разгорячить
готовить	заготовить
готовить	подготовить
готовить	приготовить
готовить	сготовить
гофрировать	нагофрировать
грабастать	заграбастать
грабастать	сграбастать
грабить	ограбить
гравировать	выгравировать
гравировать	награвировать
гравировать	отгравировать
